,traders.co.jp_url,銘柄名,銘柄ID,前日終値,PER,PBR,時価総額,発行済株数,自己資本比率,200日移動平均,200日移動平均乖離率,13週移動平均,13週移動平均乖離率
71,https://www.traders.co.jp/stocks/63_4571/,ナノキャリア,4571,185,,2.82,13259000000,70000000,,227.0,0.22702702702702693,192.0,0.037837837837837895
72,https://www.traders.co.jp/stocks/63_4583/,カイオム・バイオサイエンス,4583,142,,4.61,6667000000,46000000,,168.0,0.18309859154929575,149.0,0.04929577464788726
73,https://www.traders.co.jp/stocks/63_4586/,メドレックス,4586,101,,1.66,2520000000,25000000,0.8994,114.0,0.1287128712871286,107.0,0.05940594059405946
74,https://www.traders.co.jp/stocks/63_4591/,リボミック,4591,163,,1.24,4741000000,29000000,,190.0,0.16564417177914104,177.0,0.08588957055214719
75,https://www.traders.co.jp/stocks/63_4594/,ブライトパス・バイオ,4594,145,,3.53,7010000000,59000000,,89.0,-0.38620689655172413,83.0,-0.4275862068965517
76,https://www.traders.co.jp/stocks/63_4596/,窪田製薬ホールディングス,4596,127,,1.71,6670000000,52000000,0.8593000000000001,167.0,0.31496062992125995,133.0,0.04724409448818889
77,https://www.traders.co.jp/stocks/63_4597/,ソレイジア・ファーマ,4597,55,,3.63,9422000000,168000000,0.8228,78.0,0.4181818181818182,55.0,0.0
78,https://www.traders.co.jp/stocks/62_4615/,神東塗料,4615,131,,0.28,4061000000,31000000,0.4689,149.0,0.13740458015267176,136.0,0.03816793893129766
79,https://www.traders.co.jp/stocks/62_4766/,ピーエイ,4766,165,51.38,5.44,1875000000,11000000,0.2516,166.0,0.0060606060606061,167.0,0.0121212121212122
80,https://www.traders.co.jp/stocks/63_4772/,ストリームメディアコーポレーション,4772,139,,2.48,15995000000,116000000,0.6142,163.0,0.17266187050359716,164.0,0.17985611510791366
81,https://www.traders.co.jp/stocks/62_4814/,ネクストウェア,4814,171,72.46,1.47,2226000000,13000000,0.7353000000000001,173.0,0.011695906432748648,173.0,0.011695906432748648
82,https://www.traders.co.jp/stocks/62_4829/,日本エンタープライズ,4829,140,54.62,1.15,5472000000,39000000,0.8402,161.0,0.1499999999999999,148.0,0.05714285714285716
83,https://www.traders.co.jp/stocks/63_4833/,Ｓｕｃｃｅｓｓ　Ｈｏｌｄｅｒｓ,4833,126,,3.32,3115000000,25000000,0.3889,159.0,0.26190476190476186,128.0,0.015873015873015817
84,https://www.traders.co.jp/stocks/63_4881/,ファンペップ,4881,171,,1.28,3631000000,21000000,,206.0,0.20467836257309946,186.0,0.08771929824561409
85,https://www.traders.co.jp/stocks/62_5010/,日本精蝋,5010,168,6.81,0.42,3786000000,22000000,0.23070000000000002,172.0,0.023809523809523725,169.0,0.005952380952380931
86,https://www.traders.co.jp/stocks/62_5103/,昭和ホールディングス,5103,47,88.68,1.71,3586000000,76000000,0.3373,47.0,0.0,47.0,0.0
87,https://www.traders.co.jp/stocks/62_5216/,倉元製作所,5216,145,65.09,6.9,4669000000,34000000,,129.0,-0.1103448275862069,128.0,-0.11724137931034484
88,https://www.traders.co.jp/stocks/62_5721/,エス・サイエンス,5721,28,,1.52,3965000000,142000000,0.9146,28.0,0.0,26.0,-0.0714285714285714
89,https://www.traders.co.jp/stocks/62_5856/,エルアイイーエイチ,5856,51,10.92,1.22,3820000000,75000000,0.5838,54.0,0.05882352941176472,52.0,0.019607843137254832
90,https://www.traders.co.jp/stocks/62_5940/,不二サッシ,5940,67,22.74,0.52,8586000000,126000000,0.2147,70.0,0.04477611940298498,69.0,0.029850746268656803
91,https://www.traders.co.jp/stocks/62_5950/,日本パワーファスニング,5950,124,24.21,0.56,2280000000,19000000,0.40299999999999997,113.0,-0.08870967741935487,121.0,-0.024193548387096753
92,https://www.traders.co.jp/stocks/62_5952/,アマテイ,5952,116,27.49,1.14,1429000000,12000000,0.2262,118.0,0.01724137931034475,119.0,0.02586206896551735
93,https://www.traders.co.jp/stocks/62_5955/,ヤマシナ,5955,66,24.81,0.79,9335000000,144000000,0.6568,69.0,0.045454545454545414,67.0,0.015151515151515138
94,https://www.traders.co.jp/stocks/62_6029/,アトラグループ,6029,191,37.18,1.45,1863000000,10000000,0.2572,217.0,0.1361256544502618,189.0,-0.010471204188481686
95,https://www.traders.co.jp/stocks/63_6072/,地盤ネットホールディングス,6072,140,37.91,2.53,3194000000,23000000,0.7045999999999999,143.0,0.021428571428571352,142.0,0.014285714285714235
96,https://www.traders.co.jp/stocks/61_6093/,エスクロー・エージェント・ジャパン,6093,148,16.1,1.93,6801000000,46000000,0.8256,166.0,0.12162162162162171,155.0,0.04729729729729737
97,https://www.traders.co.jp/stocks/63_6177/,ＡｐｐＢａｎｋ,6177,148,,5.6,1261000000,9000000,0.785,157.0,0.060810810810810745,153.0,0.03378378378378377
98,https://www.traders.co.jp/stocks/63_6181/,タメニー,6181,114,,55.23,2373000000,25000000,0.044500000000000005,109.0,-0.04385964912280704,113.0,-0.00877192982456143
99,https://www.traders.co.jp/stocks/63_6192/,ハイアス・アンド・カンパニー,6192,114,,1.83,4311000000,38000000,0.3956,127.0,0.11403508771929816,123.0,0.07894736842105265
100,https://www.traders.co.jp/stocks/62_6343/,フリージア・マクロス,6343,115,12.82,0.64,5141000000,45000000,0.2975,115.0,0.0,114.0,-0.008695652173912993
101,https://www.traders.co.jp/stocks/62_6494/,ＮＦＫホールディングス,6494,105,53.43,1.12,4802000000,44000000,0.8079999999999999,98.0,-0.06666666666666665,104.0,-0.00952380952380949
102,https://www.traders.co.jp/stocks/62_6495/,宮入バルブ製作所,6495,148,101.37,1.84,7230000000,49000000,,135.0,-0.08783783783783783,143.0,-0.03378378378378377
103,https://www.traders.co.jp/stocks/63_6550/,Ｕｎｉｐｏｓ,6550,162,,1.13,2166000000,13000000,0.6642,149.0,-0.08024691358024694,163.0,0.006172839506172867
104,https://www.traders.co.jp/stocks/62_6625/,ＪＡＬＣＯホールディングス,6625,203,14.0,1.44,21620000000,113000000,0.2888,166.0,-0.18226600985221675,174.0,-0.1428571428571429
105,https://www.traders.co.jp/stocks/62_6634/,ネクスグループ,6634,177,6.13,1.57,4778000000,27000000,0.18469999999999998,169.0,-0.04519774011299438,178.0,0.005649717514124353
106,https://www.traders.co.jp/stocks/62_6659/,メディアリンクス,6659,90,,1.3,2009000000,22000000,0.3358,150.0,0.6666666666666667,91.0,0.011111111111111072
107,https://www.traders.co.jp/stocks/62_6721/,ウインテスト,6721,128,214.55,2.66,4093000000,35000000,0.8339,138.0,0.078125,111.0,-0.1328125
108,https://www.traders.co.jp/stocks/62_6731/,ピクセラ,6731,9,,1.66,2140000000,238000000,0.7904000000000001,12.0,0.33333333333333326,9.0,0.0
109,https://www.traders.co.jp/stocks/61_6740/,ジャパンディスプレイ,6740,48,,0.96,62216000000,2688000000,0.2816,56.0,0.16666666666666674,51.0,0.0625
